replicate	seed	selected_C	validation_average_precision	average_precision	brier	roc_auc	real_context_support_ap	real_minus_shuffled_ap
49	20262863	0.01	0.8178256563131832	0.8104384398941133	0.1980242177160374	0.6572357570726857	0.9571531912808816	0.1467147513867682
50	20262864	1.0	0.8178429337653421	0.8107157634378002	0.1980227051414443	0.657328280270258	0.9571531912808816	0.1464374278430814
51	20262865	0.1	0.8177431665240907	0.8107504482766383	0.198030862604881	0.6571157539190959	0.9571531912808816	0.1464027430042432
52	20262866	0.1	0.817758683472835	0.8109587899492122	0.1980310904557924	0.6575324634112726	0.9571531912808816	0.1461944013316694
53	20262867	0.01	0.817581384020499	0.8114854356904074	0.1980224538738272	0.6576253953770446	0.9571531912808816	0.1456677555904741
54	20262868	10.0	0.8173423092352413	0.8111427043712425	0.1980281669950437	0.6575427008852266	0.9571531912808816	0.1460104869096391
55	20262869	0.1	0.8174400400982326	0.8106090892177649	0.1980193057166852	0.6578707350815958	0.9571531912808816	0.1465441020631167
56	20262870	10.0	0.8179575925329748	0.811150247287638	0.1980175202216102	0.6576493254438667	0.9571531912808816	0.1460029439932436
57	20262871	0.1	0.8175639226510755	0.811095327831476	0.1980211480804475	0.6576050231920918	0.9571531912808816	0.1460578634494056
58	20262872	0.1	0.8172179609277168	0.8108023064494536	0.1980218722180691	0.6574394355334093	0.9571531912808816	0.146350884831428
59	20262873	0.1	0.8180936213797793	0.8104834686542665	0.1980446005386524	0.6569096148565016	0.9571531912808816	0.1466697226266151
60	20262874	10.0	0.8175163662630541	0.8109731082401992	0.1980253211987676	0.6573858240997088	0.9571531912808816	0.1461800830406824
61	20262875	0.1	0.8177727343917469	0.8105228212174518	0.1980213052042467	0.6575460635174812	0.9571531912808816	0.1466303700634298
62	20262876	1.0	0.8173779079445267	0.8104123522954276	0.1980201173271584	0.65752852644828	0.9571531912808816	0.1467408389854539
63	20262877	0.01	0.8174930016713251	0.8109317765826268	0.1980216264630726	0.6574938176892735	0.9571531912808816	0.1462214146982547
64	20262878	1.0	0.8173315545872774	0.8108264944554752	0.1980230806268978	0.6575537433356624	0.9571531912808816	0.1463266968254064
65	20262879	0.01	0.8170576346521012	0.8105677617827415	0.1980221554468004	0.657457564060508	0.9571531912808816	0.1465854294981401
66	20262880	0.1	0.8173976303654659	0.8107188796579815	0.1980223297870511	0.6576070167934217	0.9571531912808816	0.1464343116229001
67	20262881	1.0	0.817555973336126	0.8109171807419736	0.1980142731771824	0.6577223921885977	0.9571531912808816	0.146236010538908
68	20262882	0.1	0.8175469344392899	0.8112786062773253	0.1980228422269277	0.6576104673450934	0.9571531912808816	0.1458745850035563
69	20262883	0.01	0.8180616351668231	0.8107188155191025	0.1980223464242236	0.6575143326005527	0.9571531912808816	0.1464343757617791
70	20262884	0.01	0.8175235355139849	0.8111042416093596	0.1980342298617344	0.6573786249837954	0.9571531912808816	0.146048949671522
71	20262885	10.0	0.8175710861489219	0.8102854418960624	0.1980352988775428	0.6572057080427897	0.9571531912808816	0.1468677493848191
72	20262886	1.0	0.8173243092535226	0.8109558266604616	0.1980202178541859	0.6578067274622661	0.9571531912808816	0.14619736462042
73	20262887	0.1	0.8175379136785289	0.8108496734009798	0.1980220186727184	0.6575522726835932	0.9571531912808816	0.1463035178799018
74	20262888	1.0	0.8179847405849254	0.811234538791296	0.1980205696611167	0.6577450902417687	0.9571531912808816	0.1459186524895855
75	20262889	10.0	0.81783926431455	0.8107917114792189	0.1980148937633815	0.657771322198786	0.9571531912808816	0.1463614798016627
76	20262890	10.0	0.8176073879761842	0.8114099853640895	0.1980156699165862	0.6577552751924344	0.9571531912808816	0.1457432059167921
77	20262891	10.0	0.8169470622964939	0.810585792178355	0.1980164343593169	0.6577650570839537	0.9571531912808816	0.1465673991025265
78	20262892	0.01	0.8174971127079785	0.8110873425857968	0.1980226002063808	0.6575682854356265	0.9571531912808816	0.1460658486950847
79	20262893	1.0	0.8171510954533139	0.8112129192236313	0.1980222397225093	0.6574754859198858	0.9571531912808816	0.1459402720572503
80	20262894	0.01	0.816884020789795	0.8109980278929092	0.1980223482221592	0.6574886589889251	0.9571531912808816	0.1461551633879724
81	20262895	0.01	0.8179037438073863	0.8107642489745543	0.1980232084735947	0.6574719919794108	0.9571531912808816	0.1463889423063272
82	20262896	0.1	0.8172567111092541	0.8110856389909216	0.1980214244996978	0.6575340391099184	0.9571531912808816	0.14606755228996
83	20262897	0.1	0.8174753537222721	0.810682922696241	0.1980206397202418	0.6575950597526848	0.9571531912808816	0.1464702685846406
84	20262898	0.01	0.8172876504995638	0.8109736354978264	0.1980208754693668	0.6576580317497887	0.9571531912808816	0.1461795557830552
85	20262899	0.01	0.8175082815122741	0.8113841869514333	0.198015490612851	0.6578598707536155	0.9571531912808816	0.1457690043294482
86	20262900	0.01	0.8171800383358787	0.8108852955649336	0.1980225182575313	0.6574205123061241	0.9571531912808816	0.146267895715948
87	20262901	1.0	0.8175869944021608	0.8110927388723663	0.1980227883977733	0.6573247646353814	0.9571531912808816	0.1460604524085152
88	20262902	0.01	0.8172883301164632	0.8105162456672371	0.1980197437491085	0.6577656645271998	0.9571531912808816	0.1466369456136445
89	20262903	1.0	0.8175839167904597	0.8109422033944151	0.1980194073493905	0.6576259149008733	0.9571531912808816	0.1462109878864664
90	20262904	0.01	0.8177086641783748	0.8109235437937755	0.198018132718928	0.6577197546060822	0.9571531912808816	0.1462296474871061
91	20262905	0.1	0.8181083984516866	0.8111064545778376	0.1980285250437399	0.6577153814714355	0.9571531912808816	0.146046736703044
92	20262906	10.0	0.8179603470257234	0.8106231580096773	0.1980303695409458	0.6574759346514567	0.9571531912808816	0.1465300332712042
93	20262907	0.01	0.8177790682484103	0.8106938048681751	0.1980217192389919	0.6576603130873929	0.9571531912808816	0.1464593864127065
94	20262908	1.0	0.8176748852553493	0.8113389263399302	0.1980204391361186	0.6576072702753776	0.9571531912808816	0.1458142649409514
95	20262909	0.1	0.8178518227871105	0.810904254732577	0.1980344534149291	0.6573111805145214	0.9571531912808816	0.1462489365483046
96	20262910	0.1	0.8176548883684074	0.8110317896421037	0.1980162112418235	0.6576568556848575	0.9571531912808816	0.1461214016387779
97	20262911	0.1	0.8173364543588457	0.8111423551868013	0.198020975350048	0.6575842947622279	0.9571531912808816	0.1460108360940802
98	20262912	0.1	0.8174632730710644	0.8111955145255141	0.1980232990076491	0.6574254403607289	0.9571531912808816	0.1459576767553675
99	20262913	10.0	0.8183539473753766	0.8107939767050996	0.1980302360026441	0.6573724854681308	0.9571531912808816	0.146359214575782
100	20262914	1.0	0.8175278931532843	0.8108934623797847	0.1980145248124854	0.6577755069346818	0.9571531912808816	0.1462597289010969
101	20262915	10.0	0.8174762496567569	0.8103602231771959	0.1980208925041169	0.6574582856848153	0.9571531912808816	0.1467929681036857
102	20262916	0.01	0.8179186585114201	0.8112221916228011	0.1980214463892605	0.6577375211792167	0.9571531912808816	0.1459309996580805
103	20262917	10.0	0.8178478298738061	0.8112142047737253	0.1980258686219771	0.6575356707572839	0.9571531912808816	0.1459389865071563
104	20262918	10.0	0.817588073560148	0.810598407057409	0.1980225464301075	0.657544648814132	0.9571531912808816	0.1465547842234725
105	20262919	1.0	0.8175532786595356	0.810686445561255	0.1980218867765985	0.6574253775611453	0.9571531912808816	0.1464667457196266
106	20262920	0.1	0.8175234725776415	0.8104305223248673	0.1980214619666955	0.6575281074037849	0.9571531912808816	0.1467226689560142
107	20262921	0.01	0.817228519125662	0.810740698614801	0.1980237620056678	0.6573917957692135	0.9571531912808816	0.1464124926660805
108	20262922	0.01	0.8178257607446433	0.8107483407323022	0.198023242686255	0.6573337746629266	0.9571531912808816	0.1464048505485794
109	20262923	0.1	0.8176844217355701	0.8116644927185572	0.198022524192291	0.6575227694391703	0.9571531912808816	0.1454886985623243
110	20262924	0.1	0.8177635646299062	0.8108687285026523	0.1980298309279249	0.657463066445851	0.9571531912808816	0.1462844627782292
111	20262925	1.0	0.8172486419402567	0.8105867753052162	0.1980233212486676	0.6574038909690344	0.9571531912808816	0.1465664159756654
112	20262926	1.0	0.8175584105154172	0.8112812804294662	0.1980214963591377	0.6576367346982398	0.9571531912808816	0.1458719108514153
113	20262927	0.01	0.8180244208131725	0.8106581805110005	0.198019423430357	0.657658652894762	0.9571531912808816	0.1464950107698811
114	20262928	0.01	0.8176776652070077	0.8109259111807373	0.1980245934889388	0.6574927432454869	0.9571531912808816	0.1462272801001443
115	20262929	0.1	0.8178026555858384	0.8108901883013144	0.1980286698073105	0.6572637542689101	0.9571531912808816	0.1462630029795671
116	20262930	10.0	0.8178468954749969	0.8108856482938163	0.1980214153847496	0.657682869556048	0.9571531912808816	0.1462675429870653
117	20262931	1.0	0.8177060663458297	0.811014629744881	0.198021923513685	0.6575380434397373	0.9571531912808816	0.1461385615360005
